POI_ID,POI_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LC_LO,LC_LA
76838,간절곶등대,울산광역시,울주군,서생면,129.3606751,35.35902926
141502,우성항공여행사,전라북도,고창군,고창읍,126.7008231,35.43478969
142394,우정여행사,서울특별시,중구,태평로1가,126.9783393,37.56723726
145432,비산항공여행사,서울특별시,서초구,반포동,127.0115662,37.50166384
149376,부래여행사,부산광역시,중구,중앙동4가,129.035622,35.10561987
153526,보람항공여행사,강원특별자치도,원주시,학성동,127.9474276,37.3539771
157191,유타항공여행사,서울특별시,서초구,잠원동,127.0184121,37.51670134
159787,고인돌공원,전라남도,순천시,송광면,127.2245669,34.97921209
165455,미주항공여행사,경상남도,진주시,동성동,128.0855098,35.19111732
167131,미르탑항공사,서울특별시,종로구,종로2가,126.9860528,37.56990366
167234,인성여행사,제주특별자치도,제주시,노형동,126.4772733,33.49219628
170115,문화관광,서울특별시,중구,남대문로5가,126.9725007,37.55768534
170225,일양여행사,서울특별시,중구,서소문동,126.9736243,37.56342274
176222,명문여행,서울특별시,중구,태평로1가,126.9783813,37.56743764
177462,맥마관광여행사,대전광역시,중구,대흥동,127.4223501,36.32542353
184422,한국관광여행사,부산광역시,중구,동광동2가,129.035044,35.1006856
188815,광주관광여행사,광주광역시,북구,두암동,126.9354924,35.16202089
191571,동화항공여행사,서울특별시,강북구,미아동,127.0307411,37.61165148
196393,군자여행사,경기도,안산시 단원구,원곡동,126.7965481,37.33256162
197879,동아여행사,부산광역시,부산진구,양정동,129.0732936,35.17389352
199681,동서항공여행사,광주광역시,북구,북동,126.9113909,35.15525197
199775,동서여행사,부산광역시,중구,대창동2가,129.0373406,35.11055419
204053,해운항공여행사,인천광역시,연수구,청학동,126.6717091,37.4185831
207716,우리여행사,부산광역시,연제구,연산동,129.0790292,35.18313837
209955,강호여행사,서울특별시,서초구,잠원동,127.019522,37.51080369
211028,프라임여행사,서울특별시,중구,순화동,126.9708166,37.56259492
214098,평화해외여행사,울산광역시,중구,태화동,129.2979016,35.55143767
217962,금선여행사,부산광역시,중구,중앙동4가,129.0355648,35.10612541
222649,삼청동길,서울특별시,종로구,삼청동,126.9816585,37.58775478
229135,신세계여행사,경상남도,진주시,동성동,128.0843501,35.192544
230194,신아여행사,서울특별시,서초구,서초동,127.0305442,37.48588975
232871,감로여행사,서울특별시,종로구,관훈동,126.9846242,37.57278958
235156,온양관광여행사,충청남도,아산시,온천동,127.0048638,36.78147279
239625,서귀포여행사,제주특별자치도,서귀포시,서귀동,126.5613113,33.24766771
240461,오륙도여행사,부산광역시,사하구,괴정동,128.9891738,35.09904388
248095,선진전위치료기,광주광역시,북구,문흥동,126.9213307,35.18551024
248684,설악산국립공원설악동탐방지원센터,강원특별자치도,속초시,설악동,128.4936351,38.17265391
251968,팔도관광여행사,전라남도,목포시,유동,126.3824787,34.78382629
257207,통영삼도수군통제영,경상남도,통영시,문화동,128.4230875,34.847752
262698,청기와여행사,경기도,성남시 수정구,신흥동,127.1399954,37.44277252
267796,뉴월드여행사,전라남도,여수시,중앙동,127.7352112,34.73988164
270025,나드리세계여행,충청북도,청주시 상당구,서문동,127.4850069,36.63636077
270888,키오탑항공사,서울특별시,종로구,종로2가,126.9860528,37.56990366
275844,하나투어,대구광역시,북구,태전동,128.5486795,35.9167026
276226,코리아나여행,충청북도,청주시 상당구,서문동,127.4850069,36.63636077
276557,코스모스여행사,대구광역시,중구,동문동,128.6001491,35.87161577
276594,코아관광여행사,전라북도,익산시,마동,126.9685742,35.93531062
276940,콤비항공여행사,서울특별시,중구,소공동,126.9801742,37.56379446
279614,연승여행사,서울특별시,강남구,논현동,127.024832,37.50498429
283687,에펠항공여행사,서울특별시,종로구,당주동,126.9723465,37.57179028
283815,에이스여행사,전라북도,익산시,창인동1가,126.9476105,35.94183023
285053,대한관광여행사,전라북도,정읍시,연지동,126.8440723,35.57546161
287634,에어몰여행,서울특별시,마포구,도화동,126.9487442,37.54003684
289612,세계로여행사,전라북도,전주시 완산구,서신동,127.1223972,35.83034086
293393,황금깃털여행,서울특별시,종로구,당주동,126.9723465,37.57179028
296959,솔빛여행사,서울특별시,중구,태평로1가,126.9783393,37.56723726
299453,안일여행사,경기도,안성시,동본동,127.2724512,37.00724681
303189,아주항공여행사,부산광역시,부산진구,부전동,129.0588469,35.15664544
303230,아주좋은여행사,부산광역시,중구,중앙동4가,129.0366367,35.10604141
348188,서울영어마을,서울특별시,강북구,수유동,127.0085152,37.63990361
350176,창원의집,경상남도,창원시 의창구,사림동,128.6816031,35.24445531
363558,금성관,전라남도,나주시,과원동,126.7165232,35.033333
453527,헤모수불가마,경기도,용인시 수지구,풍덕천동,127.1015447,37.32683779
464632,설성인형마을,충청북도,음성군,원남면,127.6241835,36.85401577
469378,황기모아황토염색체험장,전라남도,구례군,구례읍,127.4070022,35.19157374
469956,원숭이학교,전라북도,부안군,상서면,126.6713967,35.66803181
511309,어린이대공원매표소,서울특별시,광진구,능동,127.0839363,37.55130576
511316,연세대학교신촌캠퍼스매표소,서울특별시,서대문구,신촌동,126.9418247,37.56399911
528551,의림파크랜드,충청북도,제천시,모산동,128.2085611,37.17517794
539117,향나무,서울특별시,종로구,와룡동,126.9894727,37.57931836
539241,팔각정,전라북도,진안군,주천면,127.4012408,35.97891716
539951,염포야영장,전라남도,고흥군,봉래면,127.4945367,34.43062117
540431,내장산관광테마파크,전라북도,정읍시,부전동,126.8956141,35.52578566
545150,법천사지,강원특별자치도,원주시,부론면,127.7641179,37.20924866
549326,앵남역(폐역),전라남도,화순군,화순읍,126.9062792,35.05041577
549330,김유정역(폐역),강원특별자치도,춘천시,신동면,127.7164586,37.81945418
549351,의암역(폐역),강원특별자치도,춘천시,신동면,127.6813117,37.82405904
549380,구절리역(폐역),강원특별자치도,정선군,여량면,128.7281746,37.51693267
549450,구룡역(폐역),전라남도,순천시,별량면,127.4169963,34.84126746
549505,진성역(폐역),경상남도,진주시,진성면,128.2271416,35.1611089
549511,죽동역(폐역),경상북도,경주시,외동읍,129.3145316,35.7444568
629310,병영성홍교,전라남도,강진군,병영면,126.8114013,34.72121209
636840,대왕교,울산광역시,동구,일산동,129.4447464,35.49155633
658992,전망대휴게소,경상남도,남해군,미조면,128.0523882,34.74485236
659254,코오롱휴양소,경상북도,경주시,양남면,129.4499392,35.65372013
660148,문장대휴게소,경상북도,상주시,화북면,127.8625869,36.56631228
660236,팔왕휴게소,경상북도,문경시,문경읍,128.0677428,36.7773803
660446,함백산관광안내소,강원특별자치도,정선군,고한읍,128.9127803,37.20240662
728892,연단굴,충청북도,단양군,대강면,128.3454128,36.8902449
731065,횡성먹거리단지,강원특별자치도,횡성군,횡성읍,127.9747582,37.46045896
736282,옥지기,강원특별자치도,횡성군,서원면,127.8657264,37.39954796
811548,적벽강,전라북도,부안군,변산면,126.4585961,35.63681772
815805,신명지,제주특별자치도,제주시,애월읍,126.3146237,33.41878956
845933,인천영어마을,인천광역시,서구,당하동,126.7125736,37.58724486
861292,강원특별자치도립화목원,강원특별자치도,춘천시,사농동,127.7254157,37.92328699
861999,동화사관광단지동화사매표소,대구광역시,동구,용수동,128.7002009,35.99192163
877711,국립가리왕산자연휴양림매표소,강원특별자치도,정선군,정선읍,128.5754849,37.42224173
881968,고씨동굴매표소,강원특별자치도,영월군,김삿갓면,128.5353961,37.13071918
883565,한산도이충무공유적매표소,경상남도,통영시,한산면,128.473214,34.79311686
885427,도리사매표소,경상북도,구미시,해평면,128.4008327,36.2472196
888054,서마니관광농원,강원특별자치도,원주시,신림면,128.1997646,37.29204593
890273,조령산자연휴양림조령산매표소,충청북도,괴산군,연풍면,128.0433957,36.81288308
891017,푸른솔관광농원,강원특별자치도,양구군,양구읍,127.9709375,38.05007399
897328,장령산자연휴양림후문매표소,충청북도,옥천군,군서면,127.5539033,36.24767602
899078,지리산국립공원천은탐방지원센터,전라남도,구례군,광의면,127.4747397,35.26823727
913445,뚝섬한강공원뚝섬안내센터,서울특별시,광진구,자양동,127.0731192,37.52957544
921168,삼천탐방지원센터,서울특별시,은평구,진관동,126.9427036,37.64348259
926901,유어선매표소,제주특별자치도,제주시,구좌읍,126.9110722,33.49726092
928665,동산물감귤체험농장,제주특별자치도,서귀포시,성산읍,126.8672266,33.43626012
935026,화흥포매표소,전라남도,완도군,완도읍,126.6798357,34.30512474
935216,월출산국립공원도갑분소,전라남도,영암군,군서면,126.6591124,34.7538889
937602,신도선착장신도매표소,인천광역시,옹진군,북도면,126.4395812,37.51618179
